UserId,OnboardingCompletionScore,Country,Sex,Age,AccountAgeMonths,ListeningHours,ActiveDays,SkipRate,PlaylistCount,LikedTracks,RecommendationUsageRate,ImportedMusicLibrary,ConvertedToPremium
1000001,35.2,United Kingdom,Male,22,14,13.9,11,0.835,2,7,0.246,1,0
1000002,63.7,Brazil,Female,20,16,0.5,9,0.523,1,5,0.312,1,1
1000003,63.5,Brazil,Male,36,14,34.7,18,0.704,3,17,0.7,0,1
1000004,63.1,Brazil,Female,38,13,10.7,12,0.789,2,6,0.16,0,1
1000005,67.7,Germany,Male,22,32,30.9,11,0.486,1,13,0.198,0,0
1000006,63.4,Germany,Female,43,11,23.4,17,0.16,3,17,0.618,0,0
1000007,41.0,Brazil,Male,31,22,8.9,17,0.509,3,13,0.629,1,0
1000008,36.3,United Kingdom,Female,44,7,0.5,2,0.466,0,7,0.121,0,0
1000009,68.2,France,Female,28,19,25.7,17,0.389,0,19,0.596,0,1
1000010,53.3,Germany,Male,33,8,26.1,13,0.453,3,13,0.302,0,1
1000011,48.2,Poland,Female,32,45,51.1,22,0.075,2,27,0.503,0,1
1000012,82.4,France,Male,32,10,33.8,18,0.487,0,14,0.383,0,0
1000013,58.6,France,Female,45,8,12.9,10,0.436,2,10,0.305,0,0
1000014,61.8,Brazil,Male,28,2,10.6,11,0.836,2,11,0.139,0,1
1000015,22.0,Brazil,Male,29,28,8.3,9,0.625,1,5,0.016,0,0
1000016,41.6,Spain,Male,21,13,35.6,22,0.649,1,17,0.08,0,1
1000017,37.5,Germany,Male,51,14,15.0,13,0.596,4,10,0.404,0,0
1000018,81.9,Spain,Male,51,10,26.0,14,0.221,5,14,0.38,0,0
1000019,50.9,Poland,Female,34,4,1.6,12,0.526,2,8,0.117,1,0
1000020,38.1,Spain,Female,25,18,0.5,4,0.486,1,7,0.077,0,0
1000021,91.2,Spain,Female,41,20,3.8,12,0.591,1,10,0.248,0,0
1000022,73.1,Brazil,Male,47,13,20.6,9,0.532,2,11,0.869,0,0
1000023,82.1,Poland,Male,24,9,13.2,10,0.58,1,10,0.206,0,0
1000024,72.3,Germany,Male,21,7,38.6,20,0.579,3,27,0.714,0,1
1000025,68.3,Spain,Male,37,4,15.3,12,0.356,1,12,0.28,0,0
1000026,72.4,Germany,Female,21,2,5.0,8,0.307,3,3,0.72,0,0
1000027,52.7,France,Male,41,7,0.5,4,0.615,0,3,0.375,1,1
1000028,83.7,Spain,Male,32,17,33.0,19,0.284,3,17,0.409,0,0
1000029,89.2,Spain,Male,29,21,36.8,21,0.231,2,19,0.513,0,1
1000030,70.1,France,Male,20,33,41.3,22,0.662,4,24,0.671,1,1
1000031,98.4,Germany,Male,26,35,40.0,22,0.407,3,28,0.446,1,1
1000032,83.2,France,Female,33,25,36.7,20,0.628,1,12,0.386,1,1
1000033,82.4,Germany,Female,41,21,22.0,17,0.222,1,11,0.718,1,0
1000034,92.2,Brazil,Female,23,37,35.4,22,0.142,3,13,0.652,0,1
1000035,45.3,United Kingdom,Male,55,29,0.5,6,0.9,2,4,0.196,0,0
1000036,78.7,Poland,Female,36,8,14.0,12,0.491,0,4,0.276,0,1
1000037,56.7,Germany,Male,30,29,8.5,8,0.567,1,4,0.26,0,0
1000038,53.9,Germany,Male,24,21,2.7,4,0.564,2,6,0.098,0,0
1000039,73.0,Poland,Male,34,2,30.0,14,0.46,2,6,0.075,0,0
1000040,95.4,Spain,Female,30,16,62.6,29,0.513,9,28,0.706,0,1
1000041,66.4,Germany,Male,34,20,12.0,16,0.421,2,3,0.262,0,0
1000042,70.5,Brazil,Female,25,46,21.8,17,0.338,5,9,0.386,0,1
